,Prediction_Value,Lower_Bound_95,Upper_Bound_95,Lower_Bound_68,Upper_Bound_68,ID,EQUIPMENT_NO,VALUE
1521557,6774.8925429999999,5429.7669230000001,8120.0181625000005,6104.3675970000004,7445.4174879999991,2065380.0,21.0,6024.2684327000006
1521558,6782.2189464999992,5437.0933265000003,8127.3445664999999,6111.6940015,7452.7438920000004,2065386.0,21.0,6002.5827947999996
1521559,6782.1968674999998,5437.0712475,8127.3224874999996,6111.6719220000004,7452.7218130000001,2065392.0,21.0,6118.0054319000001
1521560,6850.0474894999998,5566.5122150000007,8133.5827644999999,6210.2244074999999,7489.8705724999991,2065398.0,21.0,6081.0901792999994
1521561,6843.323316,5559.7880415,8126.8585910000002,6203.5002340000001,7483.1463985,2065404.0,21.0,6015.9325256000002
1521562,6854.3433129999994,5570.8080380000001,8137.8785879999996,6214.5202310000004,7494.1663950000002,2065410.0,21.0,6066.9457404000004
1521563,6874.3075600000002,5590.772285,8157.8428350000004,6234.4844780000003,7514.1306419999992,2065416.0,21.0,5986.8785717000001
1521564,6785.9050174999993,5514.0430385,8057.7669969999997,6151.9008979999999,7419.9091370000006,2065422.0,21.0,5930.6711130999993
1521565,6782.4307680000002,5510.5687889999999,8054.2927469999995,6148.4266484999998,7416.4348869999994,2065428.0,21.0,5976.8034973999993
1521566,6768.5025329999999,5496.6405540000005,8040.3645120000001,6134.4984139999997,7402.506652,2065434.0,21.0,6091.855286
1521567,6728.6256899999998,5456.7637109999996,8000.4876690000001,6094.6215705000004,7362.6298095000002,2065440.0,21.0,5947.5123910000011
1521568,6740.5179225000002,5464.7214649999996,8016.3143805,6104.5525245000008,7376.4833204999995,2065446.0,21.0,5892.7719113999992
1521569,6713.8861660000002,5438.0897079999995,7989.6826234999999,6077.920768,7349.8515640000005,2065452.0,21.0,5935.6854561
1521570,6682.8358424999997,5407.0393844999999,7958.632299500001,6046.8704445000003,7318.8012405000009,2065458.0,21.0,5770.6041261
1521571,6685.8345530000006,5410.0380949999999,7961.6310100000001,6049.8691550000003,7321.7999504999989,2065464.0,21.0,5791.1791696999999
1521572,6679.1509054999997,5483.1001985000003,7875.2016115000006,6082.9375684999995,7275.3642424999998,2065470.0,21.0,5784.3236079999997
1521573,6618.0805959999998,5422.0298899999998,7814.1313030000001,6021.8672590000006,7214.2939335000001,2065476.0,21.0,5767.6039425000008
1521574,6547.8759865000002,5351.82528,7743.9266929999994,5951.6626495,7144.0893235000003,2065482.0,21.0,5688.245117299999
1521575,6521.7956304999998,5325.7449235000004,7717.8463365000007,5925.5822934999997,7118.0089674999999,2065488.0,21.0,5802.0050040000006
1521576,6301.9865559999998,5152.1915580000004,7451.7815529999998,5728.8309960000006,6875.1421160000009,2065494.0,21.0,5617.3538809000001
